repo,stars,size_kb,age_days,open_issues,language,ci_pass_pct,ci_total,pr_merge_hours,pr_merged_count,releases_per_week,release_count_90d,has_actions,type
free-nodes/clashfree,14487,5937,1428,1,unknown,,0,,0,0,0,0,non-code
electron-userland/electron-builder,14482,175595,3954,127,TypeScript,89,18,49.1,16,0.93,12,1,code
sorin-ionescu/prezto,14481,2304,5571,191,Shell,100,4,593.4,8,0,0,1,code
gunthercox/ChatterBot,14480,8353,4189,74,Python,89,19,5.4,12,0.16,2,1,code
Sairyss/domain-driven-hexagon,14478,7445,1935,4,TypeScript,0,1,,0,0,0,1,code
bootstrap-vue/bootstrap-vue,14474,54820,3448,199,JavaScript,40,20,3002.8,9,0,0,1,code
transmission/transmission,14470,143423,3969,763,C++,,0,38.8,14,0.23,3,0,code
semgrep/semgrep,14467,96246,2287,838,OCaml,100,20,16.2,10,0.78,10,1,code
youhunwl/TVAPP,14462,30873287,372,0,JavaScript,,0,10.1,2,0,0,0,code
haiwen/seafile,14460,12501,4997,86,C,,0,14.8,19,0,0,0,code
scala/scala,14445,162058,5221,25,Scala,85,20,23,17,0,0,1,code
Zulko/moviepy,14441,169981,4601,82,Python,100,9,968,5,0,0,1,code
analysis-tools-dev/static-analysis,14440,41797,3743,16,Rust,60,20,51.8,19,0,0,1,code
pointfreeco/swift-composable-architecture,14440,196942,2144,19,Swift,100,18,22.6,19,0.47,6,1,code
mame/quine-relay,14439,17695,4629,17,Ruby,69,13,3.5,16,0,0,1,code
librespeed/speedtest,14438,47773,3666,20,PHP,100,20,61.7,11,0.23,3,1,code
Tyrrrz/YoutubeDownloader,14431,1378,2679,12,C#,85,20,1.4,20,0.16,2,1,code
shelljs/shelljs,14421,1640,5129,102,JavaScript,100,20,11.5,16,0,0,1,code
BlinkDL/RWKV-LM,14419,30800,1683,144,Python,,0,454.4,3,0,0,0,code
NVlabs/stylegan,14416,1721,2599,12,Python,,0,,0,0,0,0,code
coreyhaines31/marketingskills,14415,910,62,9,JavaScript,91,11,0.2,9,0.39,5,1,code
pyodide/pyodide,14405,30207,2945,398,Python,44,16,5.9,17,0.23,3,1,code
alphacep/vosk-api,14401,14411,2388,591,Jupyter Notebook,0,1,15.3,13,0,0,1,code
microsoft/playwright-python,14397,9136,2086,76,Python,50,8,4.3,15,0.08,1,1,code
rstacruz/cheatsheets,14396,40176,5115,927,SCSS,78,18,132.9,14,0,0,1,non-code
tomnomnom/gron,14395,1501,4939,48,Go,100,14,16324.8,14,0,0,1,code
budtmo/docker-android,14388,242767,3373,159,Python,100,20,30,18,0.08,1,1,code
n8n-io/self-hosted-ai-starter-kit,14384,4016,754,6,unknown,100,2,22.7,3,0,0,1,code
Hacker0x01/hacker101,14380,27356,3033,3,SCSS,100,2,18.8,8,0,0,1,code
FreshRSS/FreshRSS,14376,33461,4896,674,PHP,95,20,14.6,18,0.16,2,1,code
google-deepmind/alphafold,14375,16901,1735,302,Python,90,20,,0,0,0,1,code
duplicati/duplicati,14375,194448,4243,709,C#,85,20,11.5,18,0.47,6,1,code
HKUDS/RAG-Anything,14375,3670,285,108,Python,30,20,170.5,14,0.08,1,1,code
davisking/dlib,14367,49898,4431,44,C++,100,17,57.8,12,0,0,1,code
musescore/MuseScore,14364,1168868,5044,3675,C++,95,20,66.7,17,0.08,1,1,code
panjf2000/ants,14362,1909,2860,1,Go,100,20,1.7,16,0,0,1,code
GoogleContainerTools/jib,14355,16917,2977,244,Java,100,2,11.3,6,0.08,1,1,code
FaridSafi/react-native-gifted-chat,14353,52991,3777,26,TypeScript,53,19,4.2,4,0.23,3,1,code
flairNLP/flair,14352,395584,2837,29,Python,75,20,25.5,10,0,0,1,code
marko-js/marko,14348,46091,4452,14,JavaScript,100,18,0.7,19,1.56,20,1,code
marcuswestin/WebViewJavascriptBridge,14340,522,5316,105,Objective-C,,0,620.3,6,0,0,0,code
reduxjs/redux-devtools,14340,36035,3909,225,TypeScript,70,20,1.9,15,0.08,1,1,code
Intervention/image,14335,6553,4806,20,PHP,65,20,6.5,11,0.23,3,1,code
forwardemail/supertest,14332,899,5011,181,JavaScript,85,20,279.9,13,0.23,3,1,code
tmux-plugins/tpm,14325,212,4321,146,Shell,,0,171.3,3,0,0,0,code
